🧭 永続中枢 起動チェック開始：2025/11/25 21:20:18 JST
⚠️ 永続中枢はすでに稼働中です（二重起動防止） PID: 707
🌅 永続中枢を起動します（JST：2025/11/25 21:23:58）
🛑 稼働中プロセスを順次停止中...
✅ 旧プロセス完全停止確認完了。
🚀 モジュール起動シーケンス開始...
▶️ 起動済：heartbeat_rescue.mjs
▶️ 起動済：heartbeat_bank.mjs
▶️ 起動済：action.mjs
⚠️ モジュール未検出：image_analysis.mjs
▶️ 起動済：output_change_manager.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
🌅 永続中枢を起動（JST：2025/11/25 21:26:10）
⚠️ 永続中枢はすでに稼働中です（二重起動防止）
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
♻️ 再起動：image_analysis.mjs
